Year,Cathode,Lithium,Nickel,Cobalt,Manganese,Aluminum,Copper,Graphite
2019,LMO,0.105693501,0,0,1.396018597,3.368824828,0.86299122,0.910510164
2020,LMO,0.105693501,0,0,1.396018597,3.368824828,0.86299122,0.910510164
2021,LMO,0.105693501,0,0,1.396018597,3.368824828,0.86299122,0.910510164
2022,LMO,0.105693501,0,0,1.396018597,3.368824828,0.86299122,0.910510164
2023,LMO,0.105693501,0,0,1.396018597,3.368824828,0.86299122,0.910510164
2024,LMO,0.105693501,0,0,1.396018597,3.368824828,0.86299122,0.910510164
2025,LMO,0.105693501,0,0,1.396018597,3.368824828,0.86299122,0.910510164
2026,LMO,0.105693501,0,0,1.396018597,3.368824828,0.86299122,0.910510164
2027,LMO,0.105693501,0,0,1.396018597,3.368824828,0.86299122,0.910510164
2028,LMO,0.105693501,0,0,1.396018597,3.368824828,0.86299122,0.910510164
2029,LMO,0.105693501,0,0,1.396018597,3.368824828,0.86299122,0.910510164
2030,LMO,0.105693501,0,0,1.396018597,3.368824828,0.86299122,0.910510164
2031,LMO,0.105693501,0,0,1.396018597,3.368824828,0.86299122,0.910510164
2032,LMO,0.105693501,0,0,1.396018597,3.368824828,0.86299122,0.910510164
2033,LMO,0.105693501,0,0,1.396018597,3.368824828,0.86299122,0.910510164
2034,LMO,0.105693501,0,0,1.396018597,3.368824828,0.86299122,0.910510164
2035,LMO,0.105693501,0,0,1.396018597,3.368824828,0.86299122,0.910510164
2036,LMO,0.105693501,0,0,1.396018597,3.368824828,0.86299122,0.910510164
2037,LMO,0.105693501,0,0,1.396018597,3.368824828,0.86299122,0.910510164
2038,LMO,0.105693501,0,0,1.396018597,3.368824828,0.86299122,0.910510164
2039,LMO,0.105693501,0,0,1.396018597,3.368824828,0.86299122,0.910510164
2040,LMO,0.105693501,0,0,1.396018597,3.368824828,0.86299122,0.910510164
2010,LTO,0,0,0,0,0,0,0
2011,LTO,0,0,0,0,0,0,0
2012,LTO,0,0,0,0,0,0,0
2013,LTO,0,0,0,0,0,0,0
2014,LTO,0,0,0,0,0,0,0
2015,LTO,0,0,0,0,0,0,0
2016,LTO,0,0,0,0,0,0,0
2017,LTO,0,0,0,0,0,0,0
2018,LTO,0,0,0,0,0,0,0
2019,LTO,0,0,0,0,0,0,0
2020,LTO,0,0,0,0,0,0,0
2021,LTO,0,0,0,0,0,0,0
2022,LTO,0,0,0,0,0,0,0
2023,LTO,0,0,0,0,0,0,0
2024,LTO,0,0,0,0,0,0,0
2025,LTO,0,0,0,0,0,0,0
2026,LTO,0,0,0,0,0,0,0
2027,LTO,0,0,0,0,0,0,0
2028,LTO,0,0,0,0,0,0,0
2029,LTO,0,0,0,0,0,0,0
2030,LTO,0,0,0,0,0,0,0
2031,LTO,0,0,0,0,0,0,0
2032,LTO,0,0,0,0,0,0,0
2033,LTO,0,0,0,0,0,0,0
2034,LTO,0,0,0,0,0,0,0
2035,LTO,0,0,0,0,0,0,0
2036,LTO,0,0,0,0,0,0,0
2037,LTO,0,0,0,0,0,0,0
2038,LTO,0,0,0,0,0,0,0
2039,LTO,0,0,0,0,0,0,0
2040,LTO,0,0,0,0,0,0,0
2010,LCO,0.113,0,0.959,0,0,0,0
2011,LCO,0.113,0,0.959,0,0,0,0
2012,LCO,0.113,0,0.959,0,0,0,0
2013,LCO,0.113,0,0.959,0,0,0,0
2014,LCO,0.113,0,0.959,0,0,0,0
2015,LCO,0.113,0,0.959,0,0,0,0
2016,LCO,0.113,0,0.959,0,0,0,0
2017,LCO,0.113,0,0.959,0,0,0,0
2018,LCO,0.113,0,0.959,0,0,0,0
2019,LCO,0.113,0,0.959,0,0,0,0
2020,LCO,0.113,0,0.959,0,0,0,0
2021,LCO,0.113,0,0.959,0,0,0,0
2022,LCO,0.113,0,0.959,0,0,0,0
2023,LCO,0.113,0,0.959,0,0,0,0
2024,LCO,0.113,0,0.959,0,0,0,0
2025,LCO,0.113,0,0.959,0,0,0,0
2026,LCO,0.113,0,0.959,0,0,0,0
2027,LCO,0.113,0,0.959,0,0,0,0
2028,LCO,0.113,0,0.959,0,0,0,0
2029,LCO,0.113,0,0.959,0,0,0,0
2030,LCO,0.113,0,0.959,0,0,0,0
2031,LCO,0.113,0,0.959,0,0,0,0
2032,LCO,0.113,0,0.959,0,0,0,0
2033,LCO,0.113,0,0.959,0,0,0,0
2034,LCO,0.113,0,0.959,0,0,0,0
2035,LCO,0.113,0,0.959,0,0,0,0
2036,LCO,0.113,0,0.959,0,0,0,0
2037,LCO,0.113,0,0.959,0,0,0,0
2038,LCO,0.113,0,0.959,0,0,0,0
2039,LCO,0.113,0,0.959,0,0,0,0
2040,LCO,0.113,0,0.959,0,0,0,0
2010,LFP,0.094648438,0,0,0,3.528314557,0.945679503,1.084656155
2011,LFP,0.094648438,0,0,0,3.528314557,0.945679503,1.084656155
2012,LFP,0.094648438,0,0,0,3.528314557,0.945679503,1.084656155
2013,LFP,0.094648438,0,0,0,3.528314557,0.945679503,1.084656155
2014,LFP,0.094648438,0,0,0,3.528314557,0.945679503,1.084656155
2015,LFP,0.094648438,0,0,0,3.528314557,0.945679503,1.084656155
2016,LFP,0.094648438,0,0,0,3.528314557,0.945679503,1.084656155
2017,LFP,0.094648438,0,0,0,3.528314557,0.945679503,1.084656155
2018,LFP,0.094648438,0,0,0,3.528314557,0.945679503,1.084656155
2019,LFP,0.094648438,0,0,0,3.528314557,0.945679503,1.084656155
2020,LFP,0.094648438,0,0,0,3.528314557,0.945679503,1.084656155
2021,LFP,0.094648438,0,0,0,3.528314557,0.945679503,1.084656155
2022,LFP,0.094648438,0,0,0,3.528314557,0.945679503,1.084656155
2023,LFP,0.094648438,0,0,0,3.528314557,0.945679503,1.084656155
2024,LFP,0.094648438,0,0,0,3.528314557,0.945679503,1.084656155
2025,LFP,0.094648438,0,0,0,3.528314557,0.945679503,1.084656155
2026,LFP,0.094648438,0,0,0,3.528314557,0.945679503,1.084656155
2027,LFP,0.094648438,0,0,0,3.528314557,0.945679503,1.084656155
2028,LFP,0.094648438,0,0,0,3.528314557,0.945679503,1.084656155
2029,LFP,0.094648438,0,0,0,3.528314557,0.945679503,1.084656155
2030,LFP,0.094648438,0,0,0,3.528314557,0.945679503,1.084656155
2031,LFP,0.094648438,0,0,0,3.528314557,0.945679503,1.084656155
2032,LFP,0.094648438,0,0,0,3.528314557,0.945679503,1.084656155
2033,LFP,0.094648438,0,0,0,3.528314557,0.945679503,1.084656155
2034,LFP,0.094648438,0,0,0,3.528314557,0.945679503,1.084656155
2035,LFP,0.094648438,0,0,0,3.528314557,0.945679503,1.084656155
2036,LFP,0.094648438,0,0,0,3.528314557,0.945679503,1.084656155
2037,LFP,0.094648438,0,0,0,3.528314557,0.945679503,1.084656155
2038,LFP,0.094648438,0,0,0,3.528314557,0.945679503,1.084656155
